"Gene ID","UNC Priority Designation","SUM159","SUM229neg","SUM229pos","HCC1419","HCC1428","HCC1806","HCC1954","MCF7","MDA231","MDA361","MDA468","SKBR3","BT474","T47D","ZR751","overall_average"
"PIP5K1B","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP5K1C","Priority 3",63070000,82800000,0,96250000,19770000,35310000,0,0,0,19320000,0,23490000,61923333,0,23610000,27832083
"PKN3","Priority 6",36210000,22775000,0,0,0,0,40930000,0,75890000,41920000,54035000,0,0,59800000,22775000,22145937
"PNCK","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKACG","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408500000,1215250000
"PSKH1","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSKH2","Priority 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PXK","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIOK1","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIOK2","Priority 7",0,0,1060350000,1372000000,294200000,1261400000,993050000,1552500000,1912500000,518250000,2111000000,1189366666,229766666,1340500000,654900000,1412348958
"RIOK3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNASEL","Priority 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS6KL1","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RSKR","Priority 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBK1","Priority 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBK2","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBK3","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCYL1","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRPK3","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK19","Priority 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK31","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK32A","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK33","Priority 4",0,67200000,0,0,0,0,0,0,363950000,0,0,0,0,0,0,26946875
"STK38L","Priority 7",298650000,416755000,445370000,435850000,141345000,281555000,86380000,146700000,82615000,296800000,110700000,184800000,331333333,301200000,264050000,247840520
"STK40","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STKLD1","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAOK1","Priority 1",201350000,292650000,120685000,207680000,53750000,160635000,460435000,775700000,160635000,429940000,150150000,462700000,206366666,957450000,277550000,310714166
"TAOK2","Priority 1",177455000,914445000,124710000,333450000,103005000,153345000,51900000,1375000000,53560000,188350000,87160000,302166666,228466666,991350000,137950000,332832395
"TESK1","Priority 7",0,0,0,30645000,14055000,14090000,0,34845000,0,76580000,21585000,12803333,10166666,71050000,20990000,20054062
"TESK2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,11410000,0,0,713125
"TLK1","Priority 7",1477500000,825000000,1974000000,0,729000000,0,1312500000,0,665350000,1420500000,1505000000,916000000,1235666666,1840550000,451800000,1692516666
"TP53RK","Priority 7",716700000,0,2010850000,0,1464000000,1028000000,973500000,2008500000,1302350000,1886000000,1332000000,0,0,2100500000,342600000,1770153125
"TSSK1B","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSK2","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSK3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSK4","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSK6","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTBK1","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTBK2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ULK4","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VRK3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WEE2","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WNK2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WNK3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
