symbol,class,tissue_type,TPM,organ,kinase_percentile
AAK1,Light,Adipose - Subcutaneous,2.1265,adipose_tissue,24
AATK,Light,Adipose - Subcutaneous,3.841,adipose_tissue,28.999999999999996
ABL1,Light,Adipose - Subcutaneous,77.755,adipose_tissue,95
ABL2,Light,Adipose - Subcutaneous,12.625,adipose_tissue,50
ABR,Light,Adipose - Subcutaneous,33.055,adipose_tissue,78
ACVR1,Light,Adipose - Subcutaneous,27.43,adipose_tissue,74
ACVR1B,Light,Adipose - Subcutaneous,19.62,adipose_tissue,64
ACVR1C,Light,Adipose - Subcutaneous,10.7,adipose_tissue,46
ACVR2A,Light,Adipose - Subcutaneous,10.795,adipose_tissue,46
ACVR2B,Light,Adipose - Subcutaneous,2.3145,adipose_tissue,24
ACVRL1,Light,Adipose - Subcutaneous,56.875,adipose_tissue,92
ADCK1,Dark,Adipose - Subcutaneous,6.973,adipose_tissue,37
ADCK2,Dark,Adipose - Subcutaneous,18.36,adipose_tissue,62
ADCK5,Dark,Adipose - Subcutaneous,10.001,adipose_tissue,45
ADPGK,Light,Adipose - Subcutaneous,52.86,adipose_tissue,90
AKT1,Light,Adipose - Subcutaneous,61.045,adipose_tissue,93
AKT2,Light,Adipose - Subcutaneous,41.83,adipose_tissue,84
AKT3,Light,Adipose - Subcutaneous,24.815,adipose_tissue,71
ALK,Light,Adipose - Subcutaneous,0.1391,adipose_tissue,7.000000000000001
ALPK1,Light,Adipose - Subcutaneous,9.5655,adipose_tissue,43
ALPK2,Dark,Adipose - Subcutaneous,0.9485,adipose_tissue,18
ALPK3,Dark,Adipose - Subcutaneous,7.476,adipose_tissue,39
AMHR2,Light,Adipose - Subcutaneous,0.17455,adipose_tissue,9
ANKK1,Light,Adipose - Subcutaneous,0.45215,adipose_tissue,13
ARAF,Light,Adipose - Subcutaneous,54.91,adipose_tissue,91
ATM,Light,Adipose - Subcutaneous,9.8315,adipose_tissue,44
ATR,Light,Adipose - Subcutaneous,7.7645,adipose_tissue,40
AURKA,Light,Adipose - Subcutaneous,1.423,adipose_tissue,21
AURKB,Light,Adipose - Subcutaneous,0.9243,adipose_tissue,18
AURKC,Light,Adipose - Subcutaneous,2.621,adipose_tissue,26
AXL,Light,Adipose - Subcutaneous,79.115,adipose_tissue,96
BAZ1A,Light,Adipose - Subcutaneous,21.37,adipose_tissue,66
BAZ1B,Light,Adipose - Subcutaneous,36.59,adipose_tissue,81
BCKDK,Dark,Adipose - Subcutaneous,38.67,adipose_tissue,83
BCR,Light,Adipose - Subcutaneous,23.93,adipose_tissue,69
BLK,Light,Adipose - Subcutaneous,0.18325,adipose_tissue,9
BLVRA,Light,Adipose - Subcutaneous,66.845,adipose_tissue,94
BMP2K,Light,Adipose - Subcutaneous,7.032,adipose_tissue,37
BMPR1A,Light,Adipose - Subcutaneous,9.016,adipose_tissue,42
BMPR1B,Light,Adipose - Subcutaneous,0.7342,adipose_tissue,17
BMPR2,Light,Adipose - Subcutaneous,25.54,adipose_tissue,72
BMX,Light,Adipose - Subcutaneous,12.41,adipose_tissue,50
BRAF,Light,Adipose - Subcutaneous,12.405,adipose_tissue,49
BRD2,Light,Adipose - Subcutaneous,121.3,adipose_tissue,98
BRD3,Light,Adipose - Subcutaneous,15.815,adipose_tissue,56.99999999999999
BRD4,Light,Adipose - Subcutaneous,30.485,adipose_tissue,76
BRDT,Light,Adipose - Subcutaneous,0.0163,adipose_tissue,2
BRSK1,Dark,Adipose - Subcutaneous,1.6085,adipose_tissue,21
BRSK2,Dark,Adipose - Subcutaneous,0.6896,adipose_tissue,16
BTK,Light,Adipose - Subcutaneous,6.556,adipose_tissue,36
BUB1,Light,Adipose - Subcutaneous,0.4082,adipose_tissue,12
BUB1B,Light,Adipose - Subcutaneous,0.47845,adipose_tissue,14.000000000000002
CAMK1,Light,Adipose - Subcutaneous,70.455,adipose_tissue,95
CAMK1D,Dark,Adipose - Subcutaneous,9.7155,adipose_tissue,44
CAMK1G,Dark,Adipose - Subcutaneous,0.099515,adipose_tissue,6
CAMK2A,Light,Adipose - Subcutaneous,0.3176,adipose_tissue,12
CAMK2B,Light,Adipose - Subcutaneous,0.2962,adipose_tissue,11
CAMK2D,Light,Adipose - Subcutaneous,32.365,adipose_tissue,78
CAMK2G,Light,Adipose - Subcutaneous,23.295,adipose_tissue,68
CAMK4,Light,Adipose - Subcutaneous,0.2593,adipose_tissue,11
CAMKK1,Dark,Adipose - Subcutaneous,8.755,adipose_tissue,41
CAMKK2,Dark,Adipose - Subcutaneous,32.145,adipose_tissue,78
CAMKV,Dark,Adipose - Subcutaneous,0.04217,adipose_tissue,3
CASK,Light,Adipose - Subcutaneous,6.029,adipose_tissue,34
CDC7,Light,Adipose - Subcutaneous,2.645,adipose_tissue,26
CDC42BPA,Dark,Adipose - Subcutaneous,17.365,adipose_tissue,61
CDC42BPB,Dark,Adipose - Subcutaneous,68.295,adipose_tissue,94
CDC42BPG,Dark,Adipose - Subcutaneous,0.53905,adipose_tissue,14.000000000000002
CDK1,Light,Adipose - Subcutaneous,4.017,adipose_tissue,28.999999999999996
CDK2,Light,Adipose - Subcutaneous,18.72,adipose_tissue,63
CDK3,Light,Adipose - Subcutaneous,20.345,adipose_tissue,65
CDK4,Light,Adipose - Subcutaneous,64.79,adipose_tissue,93
CDK5,Light,Adipose - Subcutaneous,8.9865,adipose_tissue,42
CDK6,Light,Adipose - Subcutaneous,5.4015,adipose_tissue,32
CDK7,Light,Adipose - Subcutaneous,19.08,adipose_tissue,64
CDK8,Light,Adipose - Subcutaneous,8.8265,adipose_tissue,42
CDK9,Light,Adipose - Subcutaneous,77.9,adipose_tissue,95
CDK10,Dark,Adipose - Subcutaneous,24.96,adipose_tissue,71
CDK11A,Dark,Adipose - Subcutaneous,27.7,adipose_tissue,74
CDK11B,Dark,Adipose - Subcutaneous,24.28,adipose_tissue,70
CDK12,Dark,Adipose - Subcutaneous,13.8,adipose_tissue,52
CDK13,Dark,Adipose - Subcutaneous,21.2,adipose_tissue,66
CDK14,Dark,Adipose - Subcutaneous,11.13,adipose_tissue,47
CDK15,Dark,Adipose - Subcutaneous,0.8824,adipose_tissue,17
CDK16,Dark,Adipose - Subcutaneous,42.28,adipose_tissue,84
CDK17,Dark,Adipose - Subcutaneous,27.27,adipose_tissue,73
CDK18,Dark,Adipose - Subcutaneous,3.4245,adipose_tissue,28.000000000000004
CDK19,Dark,Adipose - Subcutaneous,8.5265,adipose_tissue,41
CDK20,Dark,Adipose - Subcutaneous,5.0425,adipose_tissue,32
CDKL1,Dark,Adipose - Subcutaneous,3.7845,adipose_tissue,28.999999999999996
CDKL2,Dark,Adipose - Subcutaneous,0.054635,adipose_tissue,4
CDKL3,Dark,Adipose - Subcutaneous,1.801,adipose_tissue,22
CDKL4,Dark,Adipose - Subcutaneous,0.109,adipose_tissue,6
CDKL5,Dark,Adipose - Subcutaneous,1.4015,adipose_tissue,20
CHEK1,Light,Adipose - Subcutaneous,1.981,adipose_tissue,23
CHEK2,Light,Adipose - Subcutaneous,2.707,adipose_tissue,26
CHUK,Light,Adipose - Subcutaneous,10.155,adipose_tissue,45
CIT,Light,Adipose - Subcutaneous,1.7425,adipose_tissue,22
CKB,Light,Adipose - Subcutaneous,152.8,adipose_tissue,99
CKM,Light,Adipose - Subcutaneous,5.8735,adipose_tissue,34
CKMT1A,Light,Adipose - Subcutaneous,0.02315,adipose_tissue,2
CKMT1B,Light,Adipose - Subcutaneous,0.08079,adipose_tissue,6
CKMT2,Light,Adipose - Subcutaneous,5.5295,adipose_tissue,33
CLK1,Light,Adipose - Subcutaneous,196.6,adipose_tissue,99
CLK2,Light,Adipose - Subcutaneous,43.35,adipose_tissue,85
CLK3,Dark,Adipose - Subcutaneous,20.94,adipose_tissue,65
CLK4,Dark,Adipose - Subcutaneous,26.56,adipose_tissue,73
COL4A3BP,Light,Adipose - Subcutaneous,31.595,adipose_tissue,77
CSF1R,Light,Adipose - Subcutaneous,38.755,adipose_tissue,83
CSK,Light,Adipose - Subcutaneous,25.31,adipose_tissue,72
CSNK1A1,Light,Adipose - Subcutaneous,46.89,adipose_tissue,87
CSNK1A1L,Dark,Adipose - Subcutaneous,0.034385,adipose_tissue,3
CSNK1D,Light,Adipose - Subcutaneous,78.42,adipose_tissue,96
CSNK1E,Light,Adipose - Subcutaneous,77.91,adipose_tissue,95
CSNK1G1,Dark,Adipose - Subcutaneous,5.02,adipose_tissue,32
CSNK1G2,Dark,Adipose - Subcutaneous,48.94,adipose_tissue,88
CSNK1G3,Dark,Adipose - Subcutaneous,16.94,adipose_tissue,60
CSNK2A1,Light,Adipose - Subcutaneous,31.98,adipose_tissue,78
CSNK2A2,Dark,Adipose - Subcutaneous,29.335,adipose_tissue,76
CSNK2A3,Dark,Adipose - Subcutaneous,0.3229,adipose_tissue,12
DAPK1,Light,Adipose - Subcutaneous,10.755,adipose_tissue,46
DAPK2,Light,Adipose - Subcutaneous,11.585,adipose_tissue,48
DAPK3,Light,Adipose - Subcutaneous,50.89,adipose_tissue,88
DCLK1,Light,Adipose - Subcutaneous,17.895,adipose_tissue,62
DCLK2,Light,Adipose - Subcutaneous,6.2355,adipose_tissue,35
DCLK3,Dark,Adipose - Subcutaneous,0.6145,adipose_tissue,16
DDR1,Light,Adipose - Subcutaneous,11.585,adipose_tissue,48
DDR2,Light,Adipose - Subcutaneous,59.555,adipose_tissue,93
DGKA,Light,Adipose - Subcutaneous,15.46,adipose_tissue,56.00000000000001
DGKB,Light,Adipose - Subcutaneous,0.1503,adipose_tissue,8
DGKD,Light,Adipose - Subcutaneous,14.615,adipose_tissue,54
DGKE,Light,Adipose - Subcutaneous,5.406,adipose_tissue,33
DGKG,Light,Adipose - Subcutaneous,2.5145,adipose_tissue,25
DGKH,Light,Adipose - Subcutaneous,6.564,adipose_tissue,36
DGKI,Light,Adipose - Subcutaneous,0.3589,adipose_tissue,12
DGKK,Light,Adipose - Subcutaneous,0.0079965,adipose_tissue,1
DGKQ,Light,Adipose - Subcutaneous,13.165,adipose_tissue,51
DGKZ,Light,Adipose - Subcutaneous,29.23,adipose_tissue,75
DMPK,Light,Adipose - Subcutaneous,54.775,adipose_tissue,91
DSTYK,Dark,Adipose - Subcutaneous,9.119,adipose_tissue,43
DYRK1A,Light,Adipose - Subcutaneous,23.755,adipose_tissue,69
DYRK1B,Dark,Adipose - Subcutaneous,13.68,adipose_tissue,52
DYRK2,Dark,Adipose - Subcutaneous,9.6955,adipose_tissue,44
DYRK3,Dark,Adipose - Subcutaneous,3.385,adipose_tissue,28.000000000000004
DYRK4,Dark,Adipose - Subcutaneous,4.325,adipose_tissue,31
EEF2K,Dark,Adipose - Subcutaneous,39.86,adipose_tissue,84
EGFR,Light,Adipose - Subcutaneous,38.85,adipose_tissue,83
EIF2AK1,Light,Adipose - Subcutaneous,47.22,adipose_tissue,87
EIF2AK2,Light,Adipose - Subcutaneous,14.02,adipose_tissue,53
EIF2AK3,Light,Adipose - Subcutaneous,12.195,adipose_tissue,49
EIF2AK4,Light,Adipose - Subcutaneous,17.89,adipose_tissue,62
EPHA1,Light,Adipose - Subcutaneous,1.523,adipose_tissue,21
EPHA2,Light,Adipose - Subcutaneous,25.175,adipose_tissue,72
EPHA3,Light,Adipose - Subcutaneous,6.2555,adipose_tissue,35
EPHA4,Light,Adipose - Subcutaneous,11.595,adipose_tissue,48
EPHA5,Light,Adipose - Subcutaneous,0.055165,adipose_tissue,4
EPHA6,Light,Adipose - Subcutaneous,0.04016,adipose_tissue,3
EPHA7,Light,Adipose - Subcutaneous,0.42675,adipose_tissue,13
EPHA8,Light,Adipose - Subcutaneous,0.018655,adipose_tissue,2
EPHA10,Light,Adipose - Subcutaneous,0.030785,adipose_tissue,2
EPHB1,Light,Adipose - Subcutaneous,0.54015,adipose_tissue,15
EPHB2,Light,Adipose - Subcutaneous,2.359,adipose_tissue,25
EPHB3,Light,Adipose - Subcutaneous,1.9525,adipose_tissue,23
EPHB4,Light,Adipose - Subcutaneous,46.99,adipose_tissue,87
EPHB6,Light,Adipose - Subcutaneous,13.72,adipose_tissue,52
ERBB2,Light,Adipose - Subcutaneous,14.52,adipose_tissue,54
ERBB3,Light,Adipose - Subcutaneous,0.83275,adipose_tissue,17
ERBB4,Light,Adipose - Subcutaneous,0.19625,adipose_tissue,9
ERN1,Light,Adipose - Subcutaneous,6.91,adipose_tissue,36
ERN2,Dark,Adipose - Subcutaneous,0.07826,adipose_tissue,5
FASTK,Light,Adipose - Subcutaneous,55.175,adipose_tissue,91
FASTKD1,Light,Adipose - Subcutaneous,6.0155,adipose_tissue,34
FASTKD2,Light,Adipose - Subcutaneous,21.47,adipose_tissue,66
FASTKD3,Light,Adipose - Subcutaneous,5.5395,adipose_tissue,33
FASTKD5,Light,Adipose - Subcutaneous,10.715,adipose_tissue,46
FER,Light,Adipose - Subcutaneous,6.5075,adipose_tissue,35
FES,Light,Adipose - Subcutaneous,35.305,adipose_tissue,80
FGFR1,Light,Adipose - Subcutaneous,103.05,adipose_tissue,98
FGFR2,Light,Adipose - Subcutaneous,4.2525,adipose_tissue,30
FGFR3,Light,Adipose - Subcutaneous,1.409,adipose_tissue,20
FGFR4,Light,Adipose - Subcutaneous,0.5416,adipose_tissue,15
FGR,Light,Adipose - Subcutaneous,29.24,adipose_tissue,76
FLT1,Light,Adipose - Subcutaneous,28.19,adipose_tissue,74
FLT3,Light,Adipose - Subcutaneous,0.55835,adipose_tissue,15
FLT4,Light,Adipose - Subcutaneous,22.23,adipose_tissue,67
FRK,Light,Adipose - Subcutaneous,0.8509,adipose_tissue,17
FYN,Light,Adipose - Subcutaneous,64.07,adipose_tissue,93
GAK,Light,Adipose - Subcutaneous,42.47,adipose_tissue,84
GCK,Light,Adipose - Subcutaneous,0.4775,adipose_tissue,14.000000000000002
GRK1,Light,Adipose - Subcutaneous,0,adipose_tissue,0
GRK4,Light,Adipose - Subcutaneous,2.8435,adipose_tissue,27
GRK5,Light,Adipose - Subcutaneous,67.115,adipose_tissue,94
GRK6,Light,Adipose - Subcutaneous,16.21,adipose_tissue,57.99999999999999
GRK7,Light,Adipose - Subcutaneous,0.07544,adipose_tissue,5
GSK3A,Light,Adipose - Subcutaneous,35.22,adipose_tissue,80
GSK3B,Light,Adipose - Subcutaneous,15.12,adipose_tissue,55.00000000000001
GTF2F1,Light,Adipose - Subcutaneous,55.55,adipose_tissue,92
GUCY2C,Light,Adipose - Subcutaneous,0.2066,adipose_tissue,10
GUCY2D,Light,Adipose - Subcutaneous,0.074075,adipose_tissue,5
GUCY2F,Light,Adipose - Subcutaneous,0,adipose_tissue,0
HCK,Light,Adipose - Subcutaneous,16.625,adipose_tissue,59
HIPK1,Dark,Adipose - Subcutaneous,24.295,adipose_tissue,70
HIPK2,Light,Adipose - Subcutaneous,17.155,adipose_tissue,60
HIPK3,Dark,Adipose - Subcutaneous,81.12,adipose_tissue,96
HIPK4,Dark,Adipose - Subcutaneous,0.53675,adipose_tissue,14.000000000000002
HK1,Light,Adipose - Subcutaneous,53.59,adipose_tissue,90
HK2,Light,Adipose - Subcutaneous,25.1,adipose_tissue,71
HK3,Light,Adipose - Subcutaneous,11.14,adipose_tissue,47
HKDC1,Light,Adipose - Subcutaneous,0.11035,adipose_tissue,7.000000000000001
HSPB8,Light,Adipose - Subcutaneous,44.745,adipose_tissue,86
HUNK,Light,Adipose - Subcutaneous,0.9859,adipose_tissue,18
ICK,Dark,Adipose - Subcutaneous,12.79,adipose_tissue,50
IGF1R,Light,Adipose - Subcutaneous,13.33,adipose_tissue,51
IKBKB,Light,Adipose - Subcutaneous,39.67,adipose_tissue,83
IKBKE,Light,Adipose - Subcutaneous,3.5485,adipose_tissue,28.000000000000004
ILK,Light,Adipose - Subcutaneous,122.45,adipose_tissue,98
INSR,Light,Adipose - Subcutaneous,22.03,adipose_tissue,67
INSRR,Light,Adipose - Subcutaneous,0.1054,adipose_tissue,6
IRAK1,Light,Adipose - Subcutaneous,66.465,adipose_tissue,94
IRAK2,Light,Adipose - Subcutaneous,11.34,adipose_tissue,48
IRAK3,Light,Adipose - Subcutaneous,21.345,adipose_tissue,66
IRAK4,Light,Adipose - Subcutaneous,15.24,adipose_tissue,56.00000000000001
ITK,Light,Adipose - Subcutaneous,2.094,adipose_tissue,24
JAK1,Light,Adipose - Subcutaneous,122.6,adipose_tissue,99
JAK2,Light,Adipose - Subcutaneous,21.985,adipose_tissue,67
JAK3,Light,Adipose - Subcutaneous,7.5515,adipose_tissue,39
KALRN,Light,Adipose - Subcutaneous,7.2755,adipose_tissue,38
KDR,Light,Adipose - Subcutaneous,44.175,adipose_tissue,86
KIT,Light,Adipose - Subcutaneous,11.755,adipose_tissue,49
KSR1,Light,Adipose - Subcutaneous,13.395,adipose_tissue,51
KSR2,Light,Adipose - Subcutaneous,0.015375,adipose_tissue,1
LATS1,Light,Adipose - Subcutaneous,12.55,adipose_tissue,50
LATS2,Light,Adipose - Subcutaneous,33.54,adipose_tissue,79
LCK,Light,Adipose - Subcutaneous,2.272,adipose_tissue,24
LIMK1,Light,Adipose - Subcutaneous,16.655,adipose_tissue,59
LIMK2,Light,Adipose - Subcutaneous,18.795,adipose_tissue,63
LMTK2,Dark,Adipose - Subcutaneous,6.9505,adipose_tissue,37
LMTK3,Dark,Adipose - Subcutaneous,0.2453,adipose_tissue,11
LRRK1,Dark,Adipose - Subcutaneous,8.669,adipose_tissue,41
LRRK2,Light,Adipose - Subcutaneous,6.154,adipose_tissue,35
LTK,Dark,Adipose - Subcutaneous,0.6499,adipose_tissue,16
LYN,Light,Adipose - Subcutaneous,18.45,adipose_tissue,63
MAK,Light,Adipose - Subcutaneous,0.37185,adipose_tissue,12
MAP2K1,Light,Adipose - Subcutaneous,54.565,adipose_tissue,91
MAP2K2,Light,Adipose - Subcutaneous,79.84,adipose_tissue,96
MAP2K3,Light,Adipose - Subcutaneous,40.11,adipose_tissue,84
MAP2K4,Light,Adipose - Subcutaneous,17.27,adipose_tissue,60
MAP2K5,Light,Adipose - Subcutaneous,14.61,adipose_tissue,54
MAP2K6,Light,Adipose - Subcutaneous,2.384,adipose_tissue,25
MAP2K7,Light,Adipose - Subcutaneous,36.495,adipose_tissue,81
MAP3K1,Light,Adipose - Subcutaneous,10.58,adipose_tissue,46
MAP3K2,Light,Adipose - Subcutaneous,16.865,adipose_tissue,60
MAP3K3,Light,Adipose - Subcutaneous,48.545,adipose_tissue,88
MAP3K4,Light,Adipose - Subcutaneous,16.225,adipose_tissue,57.99999999999999
MAP3K5,Light,Adipose - Subcutaneous,16.645,adipose_tissue,59
MAP3K6,Light,Adipose - Subcutaneous,94.88,adipose_tissue,97
MAP3K7,Light,Adipose - Subcutaneous,17.36,adipose_tissue,61
MAP3K8,Light,Adipose - Subcutaneous,30.915,adipose_tissue,77
MAP3K9,Light,Adipose - Subcutaneous,0.1474,adipose_tissue,8
MAP3K10,Dark,Adipose - Subcutaneous,14.865,adipose_tissue,55.00000000000001
MAP3K11,Light,Adipose - Subcutaneous,63.875,adipose_tissue,93
MAP3K12,Light,Adipose - Subcutaneous,28.765,adipose_tissue,75
MAP3K13,Light,Adipose - Subcutaneous,3.3655,adipose_tissue,28.000000000000004
MAP3K14,Dark,Adipose - Subcutaneous,14.62,adipose_tissue,54
MAP3K15,Dark,Adipose - Subcutaneous,0.038605,adipose_tissue,3
MAP3K19,Light,Adipose - Subcutaneous,0.03374,adipose_tissue,3
MAP4K1,Light,Adipose - Subcutaneous,3.687,adipose_tissue,28.000000000000004
MAP4K2,Light,Adipose - Subcutaneous,12.18,adipose_tissue,49
MAP4K3,Light,Adipose - Subcutaneous,25.915,adipose_tissue,72
MAP4K4,Light,Adipose - Subcutaneous,51.07,adipose_tissue,89
MAP4K5,Light,Adipose - Subcutaneous,38.57,adipose_tissue,82
MAPK1,Light,Adipose - Subcutaneous,25.17,adipose_tissue,71
MAPK3,Light,Adipose - Subcutaneous,88.83,adipose_tissue,97
MAPK4,Dark,Adipose - Subcutaneous,0.5166,adipose_tissue,14.000000000000002
MAPK6,Light,Adipose - Subcutaneous,15.025,adipose_tissue,55.00000000000001
MAPK7,Light,Adipose - Subcutaneous,26.23,adipose_tissue,73
MAPK8,Light,Adipose - Subcutaneous,10.87,adipose_tissue,47
MAPK9,Light,Adipose - Subcutaneous,14.9,adipose_tissue,55.00000000000001
MAPK10,Light,Adipose - Subcutaneous,3.72,adipose_tissue,28.999999999999996
MAPK11,Light,Adipose - Subcutaneous,35.73,adipose_tissue,81
MAPK12,Light,Adipose - Subcutaneous,8.015,adipose_tissue,40
MAPK13,Light,Adipose - Subcutaneous,6.455,adipose_tissue,35
MAPK14,Light,Adipose - Subcutaneous,34.55,adipose_tissue,80
MAPK15,Dark,Adipose - Subcutaneous,0.228,adipose_tissue,10
MAPKAPK2,Light,Adipose - Subcutaneous,65.595,adipose_tissue,93
MAPKAPK3,Light,Adipose - Subcutaneous,19.05,adipose_tissue,63
MAPKAPK5,Light,Adipose - Subcutaneous,30.965,adipose_tissue,77
MARK1,Dark,Adipose - Subcutaneous,9.9095,adipose_tissue,44
MARK2,Light,Adipose - Subcutaneous,14.925,adipose_tissue,55.00000000000001
MARK3,Dark,Adipose - Subcutaneous,36.87,adipose_tissue,82
MARK4,Dark,Adipose - Subcutaneous,16.32,adipose_tissue,57.99999999999999
MAST1,Light,Adipose - Subcutaneous,0.1354,adipose_tissue,7.000000000000001
MAST2,Dark,Adipose - Subcutaneous,27.155,adipose_tissue,73
MAST3,Dark,Adipose - Subcutaneous,6.9495,adipose_tissue,36
MAST4,Dark,Adipose - Subcutaneous,14.46,adipose_tissue,54
MASTL,Light,Adipose - Subcutaneous,9.647,adipose_tissue,44
MATK,Light,Adipose - Subcutaneous,1.862,adipose_tissue,22
MELK,Light,Adipose - Subcutaneous,0.58415,adipose_tissue,15
MERTK,Light,Adipose - Subcutaneous,27.605,adipose_tissue,74
MET,Light,Adipose - Subcutaneous,14.12,adipose_tissue,53
MINK1,Light,Adipose - Subcutaneous,57.895,adipose_tissue,92
MKNK1,Dark,Adipose - Subcutaneous,38.075,adipose_tissue,82
MKNK2,Dark,Adipose - Subcutaneous,132.9,adipose_tissue,99
MLKL,Light,Adipose - Subcutaneous,23.725,adipose_tissue,69
MOK,Light,Adipose - Subcutaneous,4.241,adipose_tissue,30
MOS,Light,Adipose - Subcutaneous,0,adipose_tissue,0
MST1R,Light,Adipose - Subcutaneous,0.91125,adipose_tissue,18
MTOR,Light,Adipose - Subcutaneous,14.07,adipose_tissue,53
MUSK,Light,Adipose - Subcutaneous,0.07663,adipose_tissue,5
MYLK,Light,Adipose - Subcutaneous,43.375,adipose_tissue,85
MYLK2,Light,Adipose - Subcutaneous,0.11045,adipose_tissue,7.000000000000001
MYLK3,Light,Adipose - Subcutaneous,0.05555,adipose_tissue,4
MYLK4,Light,Adipose - Subcutaneous,2.1575,adipose_tissue,24
MYO3A,Light,Adipose - Subcutaneous,0.14655,adipose_tissue,8
MYO3B,Light,Adipose - Subcutaneous,0.05784,adipose_tissue,4
NEK1,Dark,Adipose - Subcutaneous,7.2455,adipose_tissue,38
NEK2,Light,Adipose - Subcutaneous,0.13125,adipose_tissue,7.000000000000001
NEK3,Dark,Adipose - Subcutaneous,16.785,adipose_tissue,59
NEK4,Dark,Adipose - Subcutaneous,9.7535,adipose_tissue,44
NEK5,Dark,Adipose - Subcutaneous,0.1738,adipose_tissue,8
NEK6,Dark,Adipose - Subcutaneous,15.995,adipose_tissue,57.99999999999999
NEK7,Dark,Adipose - Subcutaneous,49.01,adipose_tissue,88
NEK8,Dark,Adipose - Subcutaneous,2.9245,adipose_tissue,27
NEK9,Dark,Adipose - Subcutaneous,54.16,adipose_tissue,90
NEK10,Dark,Adipose - Subcutaneous,0.1709,adipose_tissue,8
NEK11,Dark,Adipose - Subcutaneous,2.9985,adipose_tissue,27
NLK,Light,Adipose - Subcutaneous,10.16,adipose_tissue,45
NPR1,Light,Adipose - Subcutaneous,82.265,adipose_tissue,97
NPR2,Light,Adipose - Subcutaneous,29.305,adipose_tissue,76
NRBP1,Light,Adipose - Subcutaneous,80.835,adipose_tissue,96
NRBP2,Dark,Adipose - Subcutaneous,90.95,adipose_tissue,97
NRK,Dark,Adipose - Subcutaneous,0.43485,adipose_tissue,13
NTRK1,Light,Adipose - Subcutaneous,0.3793,adipose_tissue,12
NTRK2,Light,Adipose - Subcutaneous,29.03,adipose_tissue,75
NTRK3,Light,Adipose - Subcutaneous,5.724,adipose_tissue,33
NUAK1,Light,Adipose - Subcutaneous,33.2,adipose_tissue,79
NUAK2,Dark,Adipose - Subcutaneous,2.0065,adipose_tissue,23
OBSCN,Dark,Adipose - Subcutaneous,1.2385,adipose_tissue,20
OXSR1,Light,Adipose - Subcutaneous,29.175,adipose_tissue,75
PAK1,Light,Adipose - Subcutaneous,13.63,adipose_tissue,51
PAK2,Light,Adipose - Subcutaneous,45.62,adipose_tissue,86
PAK3,Dark,Adipose - Subcutaneous,1.2165,adipose_tissue,20
PAK4,Light,Adipose - Subcutaneous,7.7505,adipose_tissue,39
PAK6,Dark,Adipose - Subcutaneous,0.1751,adipose_tissue,9
PAN3,Dark,Adipose - Subcutaneous,29.615,adipose_tissue,76
PASK,Light,Adipose - Subcutaneous,3.2755,adipose_tissue,27
PBK,Light,Adipose - Subcutaneous,0.2059,adipose_tissue,9
PDGFRA,Light,Adipose - Subcutaneous,51.41,adipose_tissue,89
PDGFRB,Light,Adipose - Subcutaneous,295.6,adipose_tissue,100
PDIK1L,Dark,Adipose - Subcutaneous,4.169,adipose_tissue,30
PDK1,Light,Adipose - Subcutaneous,3.9445,adipose_tissue,28.999999999999996
PDK2,Light,Adipose - Subcutaneous,35.29,adipose_tissue,80
PDK3,Light,Adipose - Subcutaneous,5.1675,adipose_tissue,32
PDK4,Light,Adipose - Subcutaneous,614.1,adipose_tissue,100
PDPK1,Light,Adipose - Subcutaneous,12.58,adipose_tissue,50
PEAK1,Light,Adipose - Subcutaneous,24.785,adipose_tissue,70
PHKG1,Dark,Adipose - Subcutaneous,5.424,adipose_tissue,33
PHKG2,Dark,Adipose - Subcutaneous,10.48,adipose_tissue,46
PI4K2A,Light,Adipose - Subcutaneous,23.395,adipose_tissue,68
PI4K2B,Light,Adipose - Subcutaneous,7.173,adipose_tissue,38
PI4KA,Dark,Adipose - Subcutaneous,31.865,adipose_tissue,77
PI4KAP2,Light,Adipose - Subcutaneous,15.825,adipose_tissue,56.99999999999999
PI4KB,Light,Adipose - Subcutaneous,53.53,adipose_tissue,90
PIK3C2A,Light,Adipose - Subcutaneous,28.68,adipose_tissue,75
PIK3C2B,Dark,Adipose - Subcutaneous,13.745,adipose_tissue,52
PIK3C2G,Dark,Adipose - Subcutaneous,0.02866,adipose_tissue,2
PIK3C3,Light,Adipose - Subcutaneous,7.61,adipose_tissue,39
PIK3CA,Light,Adipose - Subcutaneous,17.66,adipose_tissue,61
PIK3CB,Light,Adipose - Subcutaneous,14.32,adipose_tissue,53
PIK3CD,Light,Adipose - Subcutaneous,8.7535,adipose_tissue,41
PIK3CG,Light,Adipose - Subcutaneous,1.245,adipose_tissue,20
PIK3R4,Light,Adipose - Subcutaneous,17.31,adipose_tissue,61
PIM1,Light,Adipose - Subcutaneous,52.175,adipose_tissue,90
PIM2,Light,Adipose - Subcutaneous,6.124,adipose_tissue,35
PIM3,Light,Adipose - Subcutaneous,146.75,adipose_tissue,99
PINK1,Light,Adipose - Subcutaneous,56.385,adipose_tissue,92
PIP4K2C,Dark,Adipose - Subcutaneous,21.1,adipose_tissue,66
PIP5K1A,Dark,Adipose - Subcutaneous,27.115,adipose_tissue,73
PIP5K1B,Dark,Adipose - Subcutaneous,3.0575,adipose_tissue,27
