Number_of_hits,Total_entries,Percentage_hits,Reagents,Entrez_Gene_ID,Gene,Author_provided_names_IDs
2,26,7.7,4,90649,ZNF486,"ENSG00000160229, MGC2396, XM_371152, XM_372707, XM_373798, XM_375589, XM_375590, XM_378783, ZNF486"
2,3,66.7,2,,,ENSG00000187156
2,6,33.3,1,727830,SPATA31A3,"441448, FAM75A3, LOC441448, LOC727830"
2,29,6.9,2,28955,DEXI,"DEXI, ENSG00000182108, NM_014015"
2,30,6.7,3,9882,TBC1D4,"ENSG00000136111, NM_014832, TBC1D4, XM_375032, XM_375045, XM_378929"
2,8,25,1,,,"FLJ37953, MGC3020, NM_024048"
2,29,6.9,2,81691,REXO5,"AC004381.6, ENSG00000005189, LOC81691, NM_030941"
2,7,28.6,2,402715,LOC402715,"LOC402715, tcag7.926"
2,9,22.2,1,,,"LOC283530, XM_211079"
2,4,50,2,,,"731515, LOC731515"
2,28,7.1,2,84542,KIAA1841,"ENSG00000162929, KIAA1841, NM_032506"
2,24,8.3,2,155382,VPS37D,"ENSG00000176428, VPS37D, WBSCR24, XM_376631"
2,29,6.9,2,151516,ASPRV1,"ASPRV1, FLJ25084, NM_152792, SASP"
2,32,6.2,3,10573,MRPL28,"ENSG00000086504, MRPL28, NM_006428"
2,6,33.3,2,,,"LOC387849, XM_370686"
2,37,5.4,1,1102,RCBTB2,"CHC1L, ENSG00000136161, NM_001268, RCBTB2, XK"
2,26,7.7,2,10255,HCG9,"ENSG00000161777, HCG9, NM_005844"
2,6,33.3,1,,,"LOC392793, XM_374526"
2,4,50,3,728318,KRTAP9-1,"ENSG00000240542, KRTAP9-1, LOC728318"
2,8,25,2,339059,LOC339059,FLJ40448
2,10,20,4,114817,CSPG4P5,KIAA1920
2,29,6.9,2,440699,LRRC52,"ENSG00000162763, FLJ25811, LRRC52, NM_001005214, lrrc52"
2,29,6.9,2,284467,FAM19A3,"ENSG00000184599, FAM19A3, NM_001004440, NM_182759, TAFA3"
2,9,22.2,4,116349,EXOC3-AS1,"C5orf55, LOC116349, XM_376365"
2,10,20,2,,,"LOC387701, XM_373469"
2,25,8,2,401505,TOMM5,"C9ORF105, C9orf105, ENSG00000175768, NM_001001790, SERF1A, TOMM5"
2,5,40,1,,,LOC391130
2,3,66.7,1,401375,GTF2IRD2P1,GTF2IRD2P1
2,10,20,1,,,"LOC340109, LOC389293, XM_379322"
2,5,40,2,,,"ENSG00000189149, FLJ41766"
