Number_of_hits,Total_entries,Percentage_hits,Reagents,Entrez_Gene_ID,Gene,Author_provided_names_IDs
3,32,9.4,3,23017,FAIM2,"ENSG00000135472, FAIM2, NM_012306"
3,30,10,3,124995,MRPL10,"ENSG00000159111, MRPL10, NM_145255"
3,36,8.3,2,57406,ABHD6,"ABHD6, ENSG00000163686, NM_020676"
3,32,9.4,3,79694,MANEA,"ENSG00000172469, MANEA, NM_024641"
3,28,10.7,3,57542,KLHL42,"ENSG00000087448, KIAA1340, KLHDC5, KLHL42, NA, NM_020782, XM_044836"
3,31,9.7,2,57002,YAE1D1,"C7ORF36, C7orf36, ENSG00000106540, NM_020192"
3,29,10.3,3,388662,SLC6A17,"ENSG00000197106, LOC388662, NM_001010898, SLC6A17, XM_211475, XM_371280, XM_371340, XM_373884, XM_373885"
3,15,20,4,200197,TMEM51-AS1,"23254, 399563, C1orf126, FLJ23703, FLJ43806, KIAA1026, NM_182534, NM_201628, TMEM51-AS1, c1orf126"
3,29,10.3,4,27241,BBS9,"B1, BBS9, ENSG00000122507, NM_014451, PTHB1"
3,12,25,2,401152,C4orf3,"C4orf3, ENSG00000164096, LOC401152, NM_001001701"
3,5,60,3,729968,LOC729968,LOC729968
3,33,9.1,3,80856,LNPK,"ENSG00000144320, KIAA1715, NM_030650"
3,31,9.7,2,80705,TSGA10,"ENSG00000135951, NM_025244, TSGA10"
3,30,10,2,54948,MRPL16,"ENSG00000166902, MRPL16, NM_017840"
3,34,8.8,2,63951,DMRTA1,"DMRTA1, ENSG00000176399, NM_022160"
3,31,9.7,3,27352,SGSM3,"ENSG00000100359, NM_015705, RUTBC3, SGSM3"
3,30,10,3,113246,C12orf57,"C12ORF57, C12orf57, ENSG00000111678, GRCC10, NM_138425, NM_138425.2"
3,31,9.7,3,55244,SLC47A1,"ENSG00000142494, FLJ10847, NM_018242, SLC47A1"
3,30,10,2,56270,WDR45B,"ENSG00000141580, LOC56270, NM_019613, WDR45B, WDR45L"
3,37,8.1,3,7052,TGM2,"NM_004613, NM_198951, NM_198951.1, TGM2"
3,25,12,1,4515,MTCP1,"MTCP1, NM_014221, TYR"
3,22,13.6,2,1442,CSH1,"APBA1, CSH1, ENSG00000136488, GH2, NM_001317, NM_022640"
3,30,10,2,80206,FHOD3,"ENSG00000134775, FHOD3, KIAA1695, XM_117100, XM_371114"
3,36,8.3,3,55676,SLC30A6,"ENSG00000152683, NM_017964, NM_017964.2, SLC30A6"
3,8,37.5,1,,,"FLJ32063, NM_153031"
3,14,21.4,2,138882,OR1N2,"NM_001004457, OR1N2"
3,33,9.1,3,201562,HACD2,"NM_198402, PTPLB"
3,35,8.6,2,10178,TENM1,"ENSG00000009694, NM_014253, ODZ1"
3,27,11.1,2,196410,METTL7B,"ENSG00000170439, METTL7B, MGC17301, NM_152637"
3,29,10.3,3,7265,TTC1,"ENSG00000113312, NM_003314, TTC1"
3,37,8.1,1,951,CD37,"CAV3, CD37, ENSG00000104894, NM_001774, NM_001774.1"
3,31,9.7,2,22990,PCNX1,"ENSG00000100731, NM_014982, PCNX"
3,17,17.6,2,388551,CEACAM16,"CEACAM16, ENSG00000213892, LOC388551, XM_371177, ceacam16"
3,26,11.5,2,55677,IWS1,"ENSG00000163166, FLJ10006, IWS1, NM_017969"
3,34,8.8,3,1059,CENPB,"CENPB, MAGEH1, NM_001810"
3,33,9.1,3,9980,DOPEY2,"C21ORF5, C21orf5, DOPEY2, ENSG00000142197, NM_005128"
3,7,42.9,3,403341,ZBTB34,"AB082524, ENSG00000177125, ZBTB34"
3,6,50,2,646096,CHEK2P2,"CHEK2P2, LOC646096"
3,15,20,3,283571,PROX2,"FLJ36749, PROX2, XM_372528"
3,33,9.1,3,56034,PDGFC,"ENSG00000145431, NM_016205, PDGFC"
3,7,42.9,2,646174,C16orf90,"6141, C16orf90, LOC646174, RPL18"
3,8,37.5,4,79037,PVRIG,"MGC2463, PVRIG"
3,38,7.9,4,51752,ERAP1,"ARTS-1, ENSG00000164307, ERAP1, NM_001040458.1, NM_016442"
3,14,21.4,3,439996,IFIT1B,IFIT1L
3,39,7.7,3,3298,HSF2,"341415, EDA, ENSG00000025156, HSF2, M65217, NM_004506, NM_004506.2, TRC_Gene"
3,31,9.7,3,112970,KTI12,"KTI12, MGC20419, NM_138417"
3,31,9.7,5,165055,CCDC138,"116832, CCDC138, ENSG00000163006, FLJ32745, NM_144978, RPL39L"
3,29,10.3,3,84283,TMEM79,"ENSG00000163472, MGC13102, NM_032323, TMEM79"
3,31,9.7,2,51430,SUCO,"C1ORF9, C1orf9, ENSG00000094975, NM_014283"
3,18,16.7,2,414060,TBC1D3C,"ENSG00000187760, MGC44903, NM_001001418, TBC1D3C"
3,28,10.7,3,27300,ZNF544,"NM_014480, ZNF544"
3,33,9.1,3,149461,CLDN19,"CLDN19, ENSG00000164007, NM_148960, NM_148960.1"
3,21,14.3,3,255193,CSNK1G2-AS1,"C19orf34, ENSG00000180846, MGC39696, NM_152771"
3,33,9.1,3,8125,ANP32A,"ANP32A, ENSG00000140350, NM_006305"
3,39,7.7,3,242,ALOX12B,"ACADS, ALOX12B, ENSG00000179477, NM_001139, NM_001139.2"
3,27,11.1,3,144363,ETFRF1,"LOC144363, LYRM5, NM_001001660"
3,20,15,3,390598,SKOR1,"LBXCOR1, LOC390598, NM_001031807, SKOR1, XM_372576"
3,34,8.8,2,7432,VIP,"ENSG00000146469, NM_003381, NM_003381.2, NM_194435, VIP"
3,20,15,2,9671,WSCD2,"ENSG00000075035, KIAA0789, NM_014653, WSCD2, XM_033113"
3,6,50,3,,,LOC441777
3,28,10.7,4,163351,GBP6,"DKFZP686G0786, DKFZp686G0786, ENSG00000183347, GBP6, NM_198460, gbp6"
3,33,9.1,4,27121,DKK4,"DKK4, ENSG00000104371, NM_014420, NM_014420.2"
3,40,7.5,2,2890,GRIA1,"ENSG00000155511, GRIA1, NM_000827, NM_000827.2, PPP1CA"
3,33,9.1,4,114793,FMNL2,"ENSG00000157827, ENSG00000178049, FMNL2, NM_001004417, NM_052905"
3,29,10.3,2,51301,GCNT4,"C2GNT3, ENSG00000176928, GCNT4, NM_016591, gcnt4"
3,38,7.9,3,6919,TCEA2,"ENSG00000171703, NM_003195, TCEA2"
3,21,14.3,2,375593,TRIM73,"387277, MGC45477, NM_198924, TRIM50B, TRIM73, XM_376642"
3,23,13,2,126147,NTN5,"LOC126147, NM_145807, NTN5"
3,13,23.1,4,100505841,LOC100505841,"133923, 153441, 728460, FLJ32921, LOC153441, LOC728460, NM_207317, XM_087671, ZNF474"
3,28,10.7,2,149465,CFAP57,"ENSG00000164012, FLJ32000, NM_152498, WDR65"
3,15,20,3,55701,ARHGEF40,"51222, AL161668.6-1, ENSG00000165801, FLJ10357, NM_018071, XM_370737, ZNF219"
3,34,8.8,2,83401,ELOVL3,"ELOVL3, ENSG00000119915, NM_152310"
3,29,10.3,3,137362,GOT1L1,"ENSG00000169154, GOT1L1, MGC33309, NM_152413"
3,4,75,3,,,"645904, LOC645904"
3,27,11.1,3,84304,NUDT22,"ENSG00000149761, MGC13045, NM_032344, NUDT22"
3,31,9.7,3,286148,DPY19L4,"259294, DPY19L4, ENSG00000156162, LOC286148, NM_181787, TAS2R19, TAS2R48"
3,15,20,3,152078,PQLC2L,"C3ORF55, C3orf55, ENSG00000174899, LOC152078, XM_376280"
3,30,10,3,139599,MAGEE2,"ENSG00000186675, MAGEE2, NM_138703"
3,33,9.1,3,374618,TEX9,"ENSG00000151575, LOC161577, MNS1, NM_198524, TEX9"
3,9,33.3,2,,,"LOC90193, XM_029805"
3,28,10.7,1,146852,ODF4,"ENSG00000184650, NM_153007, ODF4"
3,30,10,3,142684,RAB40A,"ENSG00000172476, NM_080879, RAB40A, rab40a"
3,37,8.1,3,53905,DUOX1,"DUOX1, ENSG00000137857, NM_017434, NM_017434.3, NM_175940"
3,6,50,1,,,KIAA1160
3,37,8.1,3,7126,TNFAIP1,"ENSG00000109079, NM_021137, NM_021137.3, TNFAIP1, tnfaip1"
3,32,9.4,2,26240,FAM50B,"D6S2654E, ENSG00000145945, FAM50B, NM_012135"
3,32,9.4,3,79838,TMC5,"ENSG00000103534, NM_024780, TMC5"
3,13,23.1,3,100996928,C7orf55-LUC7L2,"154791, 51631, C7orf55, FMC1, HSPC268, LUC7L2, NM_016019, NM_197964"
3,30,10,4,84926,SPRYD3,"ENSG00000167778, FLJ14800, NM_032840, SPRYD3"
3,23,13,3,388650,FAM69A,"ENSG00000154511, FAM69A, LOC388650, NM_001006605, XM_371269"
3,19,15.8,4,245908,DEFB105A,"DEFB105, DEFB105A, ENSG00000186562, NM_152250"
3,28,10.7,3,23732,FRRS1L,"C9ORF4, C9orf4, ENSG00000136805, XM_378078"
3,13,23.1,3,254439,C11orf86,"C11orf86, ENSG00000173237, FLJ22675, LOC254439, XM_170659"
3,27,11.1,2,9553,MRPL33,"ENSG00000163797, MRPL33, NM_004891, NM_145330"
3,14,21.4,3,147081,LINC02210,"147080, 401884, C17orf69, FLJ25168, LOC147080, LOC401884, MGC57346, NM_152466, XM_377476"
3,25,12,4,389421,LIN28B,"ENSG00000187772, FLJ16517, LIN28B, LOC389421, NM_001004317, XM_371842, lin28b"
3,36,8.3,3,80308,FLAD1,"ENSG00000160688, FLAD1, NM_025207, NM_025207.3, PP591"
3,36,8.3,2,2327,FMO2,"3522, ACCN1, ENSG00000094963, FMO2, Myo9a, NA, NM_001460, NM_001460.2"
3,26,11.5,2,56108,PCDHGA7,"NM_018920, PCDHGA7"
3,30,10,4,29953,TRHDE,"ENSG00000072657, H3F3A, NM_013381, TRHDE"
3,22,13.6,2,122740,OR4K14,"ENSG00000169484, LOC122740, NM_001004712, OR4K14, XM_063308"
3,3,100,3,5382,PMS2P4,"ENSG00000067601, PMS2L4"
3,30,10,2,80774,LIMD2,"ENSG00000136490, LIMD2, MGC10986, NM_030576"
3,11,27.3,2,,,"LOC200493, LOC285016, XM_115715"
3,31,9.7,4,83853,ROPN1L,"728124, ASP, ENSG00000145491, LOC728124, NM_031916, ROPN1L"
3,37,8.1,2,2921,CXCL3,"2920, CXCL2, CXCL3, ENSG00000163734, NM_002090, PDE4D, cxcl3"
3,7,42.9,3,644006,LOC644006,"LOC644006, XM_929433"
3,26,11.5,1,146198,ZFP90,"XM_085375, ZFP90"
3,4,75,1,,,HNRNPA1
3,39,7.7,2,51621,KLF13,"AF132599, ENSG00000169926, KLF13, NM_015995"
3,19,15.8,3,342293,LOC342293,"LOC342293, XM_292468"
3,31,9.7,3,154796,AMOT,"AMOT, ENSG00000126016, NM_133265"
3,38,7.9,3,59344,ALOXE3,"ALOXE3, ENSG00000179148, NM_021628"
3,11,27.3,4,342865,VSTM2B,"284395, ENSG00000187135, LOC284395, LOC342865, VSTM2B, XM_292785, XM_378787"
3,24,12.5,6,653583,PHLDB3,"284345, ENSG00000176531, LOC284345, LOC653583, NM_198850, PHLDB3, phldb3"
3,33,9.1,3,115273,RAB42,"ENSG00000188060, MGC45806, NM_152304, RAB42, rab42"
3,30,10,3,54491,FAM105A,"ENSG00000145569, FAM105A, FLJ11127, NM_019018"
3,25,12,5,26338,OR5L2,"NM_001004739, OR5L2, XM_372387, XM_372396, XM_372410"
3,31,9.7,4,56005,MYDGF,"C19ORF10, C19orf10, ENSG00000074842, NM_019107"
3,23,13,3,84677,DSCR8,"DSCR8, NM_032589, dscr8"
3,26,11.5,2,78995,C17orf53,"C17orf53, ENSG00000125319, MGC3130, NM_024032"
3,37,8.1,1,57117,INTS12,"ENSG00000138785, INTS12, LOC57117, NM_020395"
3,28,10.7,4,199223,TTC21A,"ENSG00000168026, NM_145755, STI2, TTC21A"
3,19,15.8,6,344022,NOTO,"LOC344022, NOTO, XM_292889"
3,30,10,4,283130,SLC25A45,"ENSG00000162241, LOC283130, NM_182556, SLC25A45"
3,23,13,5,337974,KRTAP19-7,"KRTAP19-7, NM_181614, krtap19-7"
3,12,25,2,343071,PRAMEF10,"ENSG00000187545, LOC343071, LOC652724, PRAMEF10"
3,8,37.5,4,,,LOC391764
3,35,8.6,3,89874,SLC25A21,"80792, ENSG00000183032, NM_030631, ODC1, SLC25A21"
3,37,8.1,2,6352,CCL5,"CCL5, ENSG00000161570, NM_002985, NM_002985.2"
3,34,8.8,3,54957,TXNL4B,"DLP, ENSG00000140830, NM_017853, TXNL4B"
3,5,60,1,729732,LOC729732,LOC729732
3,28,10.7,3,339883,C3orf35,"APRG1, C3ORF35, C3orf35, ENSG00000198590, NM_178338, NM_178340, NM_178342"
3,32,9.4,3,389400,GFRAL,"ENSG00000187871, GFRAL, NM_207410, UNQ9356"
3,8,37.5,2,,,LOC400301
3,16,18.8,1,391123,VSIG8,"LOC391123, VSIG8, XM_372802"
3,14,21.4,2,151484,LOC151484,"LOC151484, XM_379159"
3,37,8.1,3,1238,ACKR2,"CCBP2, ENSG00000144648, NM_001296, PIP5K2B"
3,20,15,2,84933,C8orf76,"C8orf76, ENSG00000189376, FLJ14825, NM_032847"
3,33,9.1,2,51087,YBX2,"ENSG00000006047, NM_015982, YBX2"
3,9,33.3,3,57224,NHSL1,"ENSG00000135540, NHSL1"
3,34,8.8,2,79366,HMGN5,"ENSG00000198157, HMGN5, NM_030763, NSBP1, nsbp1"
3,30,10,3,374786,EFCAB5,"EFCAB5, ENSG00000176927, FLJ46247, NM_198529"
3,22,13.6,4,286023,FLJ40288,"AC009365.3, ENSG00000183470, FLJ40288, NM_173682, NM_175893, NP_775953.1"
3,28,10.7,5,55552,ZNF823,"ENSG00000197933, HSZFP36, XM_375568, ZNF823"
3,25,12,2,58512,DLGAP3,"DLGAP3, ENSG00000116544, XM_035601, XM_370908"
3,5,60,3,440585,FAM183A,"ENSG00000186973, FAM183A, LOC440585, hCG_23177"
3,29,10.3,3,11249,NXPH2,"ENSG00000144227, NM_007226, NXPH2, XM_371555, XM_371573, XM_372958, XM_374007, XM_379141"
3,32,9.4,3,55435,AP1AR,"AP1AR, C4orf16, ENSG00000138660, NM_018569, PRO0971"
3,13,23.1,6,728269,MAGEA9B,"4108, LOC728269, MAGEA9, NM_005365"
3,27,11.1,3,285659,OR2V2,"NM_206880, OR2V2"
3,22,13.6,2,140290,TCP10L,"55264, C21ORF77, C21orf77, ENSG00000186842, NM_018277, NM_144659, TCP10L"
3,33,9.1,2,80243,PREX2,"DEPDC2, ENSG00000046889, NM_024870, PREX2"
3,13,23.1,2,389816,LRRC26,"LOC389816, LRRC26, RP11-350O14.10, XM_372161"
3,34,8.8,4,3800,KIF5C,"CD97, ENSG00000168280, KIF5C, NM_004522, NM_012148, XM_377774, XM_943569"
3,39,7.7,3,363,AQP6,"AQP6, ENSG00000086159, GDF15, NM_001652, NM_053286"
3,24,12.5,2,340654,LIPM,"LIPL3, LIPM, LOC340654, XM_291663, XM_937219, lipm"
3,38,7.9,5,8748,ADAM20,"ADAM20, ENSG00000134007, NM_003814"
3,24,12.5,3,151649,PP2D1,"C3orf48, ENSG00000183977, FLJ25449, NM_144714"
3,36,8.3,2,55034,MOCOS,"ENSG00000075643, HMCS, MOCOS, NM_017947"
3,12,25,2,504180,DEFB105B,"245908, DEFB105, DEFB105A, DEFB105B, NM_152250"
3,24,12.5,3,100996939,PYURF,"442064, 84992, ENSG00000145337, LOC442064, MGC14156, NM_032906, PIG-Y, PIGY"
3,30,10,2,54664,TMEM106B,"ENSG00000106460, FLJ11273, NM_018374, TMEM106B"
3,15,20,3,388886,LRRC75B,"C22orf36, ENSG00000178026, LOC388886, NM_207644"
3,35,8.6,3,23532,PRAME,"4136, CTNNB1, ENSG00000185686, NM_006115, PRAME"
3,8,37.5,1,388550,CEACAM22P,"CEACAM22P, FLJ41856"
3,14,21.4,2,284802,FRG1BP,"2483, ENSG00000149531, FRG1, FRG1B, MGC72104, NM_207350"
3,30,10,3,284266,SIGLEC15,"CD33L3, ENSG00000197046, NM_213602, SIGLEC15, siglec15"
3,38,7.9,2,9360,PPIG,"ENSG00000138398, NM_004792, PPIG"
3,33,9.1,6,54503,ZDHHC13,"ENSG00000177054, NM_001001483, NM_019028, ZDHHC13"
3,38,7.9,2,925,CD8A,"CASP9, CD8A, ENSG00000153563, NM_001768, NM_171827, NM_171827.2"
3,29,10.3,3,4112,MAGEB1,"C1QB, MAGEB1, NM_002363, NM_177404"
3,29,10.3,2,158584,FAAH2,"4522, FAAH2, FLJ31204, MTHFD1, NM_005956, NM_174912"
3,27,11.1,5,138009,DCAF4L2,"DCAF4L2, FLJ35775, NM_152418, WDR21C"
3,29,10.3,2,65992,DDRGK1,"C20ORF116, C20orf116, DDRGK1, ENSG00000198171, NM_023935, c20orf116"
3,30,10,3,55180,LINS1,"ENSG00000140471, LINS1, NM_018148, WINS1"
3,30,10,3,6844,VAMP2,"ENSG00000179036, NM_014232, NM_014232.1, VAMP2"
3,17,17.6,3,387263,C6orf120,"55274, C6orf120, ENSG00000185127, NM_018288, PHF10"
3,29,10.3,4,374897,SBSN,"ENSG00000189001, NM_198538, SBSN, UNQ698, sbsn"
3,26,11.5,3,9658,ZNF516,"ENSG00000101493, KIAA0222, XM_496278, ZNF516"
3,33,9.1,2,54467,ANKIB1,"AB037807, ANKIB1, ENSG00000001629, NM_019004, XM_373180, XM_374386, XM_374399, XM_374401, XM_374405, XM_374711, XM_374713, XM_377955, XM_377956, XM_377957, XM_377958, XM_377962, XM_377970, XM_377974, XM_379786, XM_940258"
3,8,37.5,2,3138,HLA-K,"649853, HLA-A29.1, LCLAT1"
3,13,23.1,4,401251,SAPCD1,"4439, C6orf26, ENSG00000096474, MSH5"
3,13,23.1,3,158801,NKAPP1,"CXorf42, ENSG00000177497, FLJ36576, NM_173522"
3,35,8.6,2,11006,LILRB4,"ENSG00000186818, LILRB4, NM_006847"
3,27,11.1,2,26579,MYEOV,"MYEOV, NM_138768"
3,23,13,3,392390,OR1L6,"254973, ENSG00000171459, LOC392390, NM_001004453, NM_001005235, OR1L4, OR1L6, XM_373315"
3,33,9.1,2,80013,MINDY3,"C10ORF97, C10orf97, ENSG00000148481, FAM188A, NM_024948"
3,37,8.1,4,5187,PER1,"ENSG00000179094, NM_002616, NM_002616.1, PER1"
3,4,75,2,,,HNRNPM
3,25,12,6,23508,TTC9,"ENSG00000133985, TTC9, XM_027236"
3,27,11.1,2,54529,ASNSD1,"ASNSD1, ENSG00000138381, NM_019048, NS3TP1"
3,30,10,3,84879,MFSD2A,"ENSG00000168389, FLJ14490, MFSD2, MFSD2A, NM_032793"
3,32,9.4,5,9696,CROCC,"652531, CROCC, ENSG00000058453, LOC652531, NM_014675, XM_371227"
3,22,13.6,5,339344,MYPOP,"ENSG00000176182, LOC339344, MYPOP, XM_290848"
3,6,50,2,,,"ENSG00000163669, FLJ40427"
3,16,18.8,2,373856,USP41,"USP41, XM_036729, XM_379036"
3,10,30,2,,,"LOC392584, XM_373397"
3,27,11.1,2,392490,FLJ44635,"FLJ44635, NM_207422"
3,19,15.8,3,23130,ATG2A,"ATG2A, ENSG00000110046, KIAA0404, NM_015104, NM_015104.1, XM_290517"
3,20,15,1,57182,ANKRD50,"729377, ANKRD50, ENSG00000151458, KIAA1223, LOC729377, NM_020337, XM_048747, XM_371711, XM_373031, XM_373033, XM_374086, XM_374088, XM_374090, XM_374091, XM_374093, XM_374094, XM_377849, XM_379276, XM_379280, XM_379288"
3,30,10,2,54707,GPN2,"ATPBD1B, ENSG00000142751, FLJ10349, GPN2, NM_018066"
3,30,10,2,152485,ZNF827,"ENSG00000151612, LOC152485, NM_178835, ZNF827"
3,5,60,2,,,NPTN
3,9,33.3,4,200025,PFN1P3,"COAS3, LOC200025"
3,31,9.7,3,64410,KLHL25,"ENSG00000183655, FLJ12587, KLHL25, NM_022480"
3,39,7.7,3,64123,ADGRL4,"401016, ELTD1, ENSG00000162618, ETL, LOC401016, NM_022159, XM_086188, XM_371262, XM_376150, XM_942048"
3,32,9.4,3,10261,IGSF6,"ENSG00000140749, IGSF6, NM_005849"
3,23,13,3,23041,MON2,"ENSG00000061987, KIAA1040, MON2, NM_015026, XM_051091"
3,31,9.7,4,387357,THEMIS,"135123, C6orf190, C6orf207, ENSG00000172673, GASP, NM_001010923, THEMIS, XM_376535"
3,29,10.3,3,257019,FRMD3,"ENSG00000172159, FRMD3, NM_174938"
3,16,18.8,3,100132417,FCGR1CP,"2209, 2210, 2211, 440607, FCGR1A, FCGR1B, FCGR1C, GPR35, LOC440607, NM_000566, NM_001004340"
3,30,10,3,60626,RIC8A,"ENSG00000177963, NM_021932, RIC-8, RIC8, RIC8A"
3,27,11.1,2,339302,CPLX4,"CPLX4, NM_181654"
3,30,10,3,164781,DAW1,"ENSG00000123977, FLJ25955, NM_178821, WDR69"
3,31,9.7,2,353500,BMP8A,"656, BMP8A, BMP8B, ENSG00000183682, ENSG00000186189, NM_001720, NM_181809, NM_181809.3, OXCT2"
3,29,10.3,1,113251,LARP4,"ENSG00000161813, LARP4, LOC113251, NM_052879"
3,31,9.7,3,9398,CD101,"CD101, ENSG00000134256, IGSF2, NM_004258"
3,31,9.7,2,89890,KBTBD6,"ENSG00000165572, KBTBD6, NM_152903"
3,29,10.3,3,254879,OR2T6,"ENSG00000198104, NM_001005471, OR2T6"
3,31,9.7,4,284697,BTBD8,"BTBD8, ENSG00000189195, NM_183242"
3,5,60,3,,,"ENSG00000197205, FLJ11531"
3,30,10,5,121053,C12orf45,"C12orf45, ENSG00000151131, MGC40397, NM_152318"
3,32,9.4,3,10605,PAIP1,"388345, ENSG00000172239, LOC388345, NM_006451, PAIP1, XM_371024"
3,30,10,5,374969,SVBP,"CCDC23, ENSG00000177868, LOC374969, NM_199342"
3,23,13,2,27296,TP53TG5,"C20ORF10, C20orf10, ENSG00000124251, NM_014477, TP53TG5"
3,36,8.3,2,1829,DSG2,"DSG2, ENSG00000046604, NM_001943, TGIF1"
3,36,8.3,2,127534,GJB4,"2708, ENSG00000189433, GJB4, NM_153212, RAB1A"
3,31,9.7,3,56243,KIAA1217,"AF119913, ENSG00000120549, KIAA1217, NM_019590"
3,23,13,2,337969,KRTAP19-2,"KRTAP19-2, NM_181608, krtap19-2"
3,33,9.1,4,51474,LIMA1,"ENSG00000050405, EPLIN, LIMA1, NM_016357"
3,27,11.1,3,84077,C3orf20,"C3orf20, DKFZP434N1817, ENSG00000131379, NM_032137"
3,20,15,1,391747,LOC391747,"LOC391747, XM_373059"
3,17,17.6,4,200916,RPL22L1,"ENSG00000163584, LOC200916, RPL22L1, XM_114317, rpl22l1"
3,39,7.7,3,1991,ELANE,"ELA2, ELANE, ENSG00000197561, NM_001972, NM_001972.2, ST3GAL6"
3,29,10.3,3,114960,TSGA13,"NM_052933, TSGA13"
3,26,11.5,3,84920,ALG10,"ALG10, ENSG00000139133, NM_032834"
3,31,9.7,2,112802,KRT71,"ENSG00000139648, KRT6IRS, KRT71, NM_033448"
3,29,10.3,3,130162,CLHC1,"1544, 54346, C2orf63, CYP1A2, ENSG00000162994, FLJ31438, NM_000761, NM_152385, UNC93A"
3,16,18.8,3,653423,SPAG11A,"10407, ENSG00000178287, NM_016512, SPAG11, SPAG11A, SPAG11B"
3,31,9.7,3,51649,MRPS23,"ENSG00000181610, MRPS23, NM_016070"
3,28,10.7,4,158038,LINGO2,"ENSG00000174482, FLJ31810, LINGO2, LRRN6C, NM_152570"
3,31,9.7,2,131920,TMEM207,"ENSG00000198398, NM_207316, TMEM207, UNQ846"
3,14,21.4,3,219436,OR5D14,"ENSG00000186113, NM_001004735, OR5D14, or5d14"
3,34,8.8,4,22943,DKK1,"DKK1, ENSG00000107984, NM_012242, NM_012242.2"
3,34,8.8,3,2037,EPB41L2,"ACAT1, ENSG00000079819, EPB41L2, NM_001431"
3,26,11.5,2,81168,OR8J3,"NM_001004064, OR8J3"
3,32,9.4,4,23080,AVL9,"AVL9, ENSG00000105778, KIAA0241, NM_015060, XM_376589, XM_376590"
3,28,10.7,1,9731,CEP104,"CEP104, ENSG00000116198, KIAA0562, NM_014704"
3,33,9.1,3,1671,DEFA6,"DEFA6, ENSG00000164822, NM_001926, RASGRP3"
3,31,9.7,2,51075,TMX2,"NM_015959, TMX2, TXNDC14"
3,35,8.6,2,23527,ACAP2,"ACAP2, CENTB2, ENSG00000114331, NM_012287"
3,13,23.1,4,100129842,ZNF737,"163233, 51351, H-plk, LOC163233, XM_290865, ZNF737"
3,23,13,1,152206,CCDC13,"CCDC13, FLJ25467, NM_144719"
3,10,30,3,122706,PSMB11,"FLJ16369, LOC122706, PSMB11, XM_063287, psmb11"
3,10,30,3,124538,OR4D2,"NM_001004707, OR4D2"
3,32,9.4,3,80148,PQLC1,"ENSG00000122490, NM_025078, PQLC1"
3,35,8.6,5,83872,HMCN1,"404, ACTB, ENSG00000143341, FIBL-6, HMCN1, NM_031935"
3,15,20,3,389337,ARHGEF37,"AC022100.7-1, ENSG00000183111, FLJ41603, NM_001001669"
3,20,15,3,145845,LOC145845,"LOC145845, XM_378507, XR_040654"
3,4,75,3,3947,LDHBP2,"LDHBP, MMP9"
3,35,8.6,3,83879,CDCA7,"CDCA7, ENSG00000144354, NM_031942"
3,36,8.3,4,6374,CXCL5,"6372, CXCL5, CXCL6, ENSG00000163735, NM_002994"
3,34,8.8,3,9419,CRIPT,"CRIPT, ENSG00000119878, NM_014171"
3,11,27.3,2,100529240,ZNF816-ZNF321P,"162966, 399669, MGC35402, NM_203307, ZNF321, ZNF468, ZNF600"
3,13,23.1,2,340286,FAM183BP,"392661, ENSG00000164556, FAM183B, LOC340286, LOC392661, LOC401324, XM_295200, XM_374428"
3,29,10.3,3,375444,C5orf34,"C5orf34, ENSG00000172244, FLJ32363, NM_198566"
3,30,10,2,84987,COX14,"C12orf62, ENSG00000178449, MGC14288, NM_032901"
3,22,13.6,3,54439,RBM27,"ENSG00000091009, RBM27, XM_059702, XM_173160, XM_291128, XM_291139, XM_293868"
3,28,10.7,4,257106,ARHGAP30,"ARHGAP30, ENSG00000186517, LOC257106, NM_181720, arhgap30"
3,34,8.8,3,55080,TAPBPL,"939, CD27, ENSG00000139192, NM_018009, TAPBPL, TNFRSF7"
3,12,25,2,283116,TRIM49B,"57093, 79097, AC084851.2-1, ENSG00000182053, LOC283116, LOC399940, TRIM48, TRIM49"
3,35,8.6,3,4063,LY9,"ENSG00000122224, KATNB1, LY9, NM_001033667.1, NM_002348, ly9"
3,6,50,2,,,"DKFZp761H2121, ENSG00000179835"
3,29,10.3,3,84299,MIEN1,"C17ORF37, C17orf37, ENSG00000141741, NM_032339"
3,26,11.5,3,85457,CIPC,"ENSG00000198894, KIAA1737, NM_033426, kiaa1737"
3,35,8.6,2,10955,SERINC3,"ENSG00000132824, NM_006811, SERINC3, TDE1"
3,32,9.4,2,10150,MBNL2,"ENSG00000139793, MBNL2, NM_144778, NM_207304"
3,30,10,2,79709,COLGALT1,"ENSG00000130309, FLJ22329, GLT25D1, NM_024656"
3,36,8.3,2,54982,CLN6,"1205, ANP32A, CLN6, ENSG00000128973, NM_017882"
3,30,10,6,79571,GCC1,"ENSG00000179562, GCC1, NM_024523"
3,32,9.4,3,4015,LOX,"ENSG00000113083, LOX, NM_002317, NRCAM"
3,31,9.7,1,23310,NCAPD3,"ENSG00000151503, KIAA0056, NCAPD3, NM_015261, hCAP-D3"
3,21,14.3,2,360226,PRSS41,"NM_183379, TESSP1, XR_001529"
3,11,27.3,2,148198,ZNF98,"390906, 57615, LOC390906, XM_047550, XM_372719, ZNF492, ZNF98, hCG_1780278"
3,24,12.5,3,64100,ELSPBP1,"652502, ELSPBP1, ENSG00000169393, LOC652502, NM_022142, XM_001134153.1"
3,22,13.6,4,390429,OR4N2,"650137, ENSG00000176294, LOC390429, LOC650137, NM_001004723, OR4N2, XM_372500"
