Gene,Title,Provider_institution,Description,PI,Authors,Assay_ID,Data_Format,Data_Repository,Data_Link,Endpoint,Endpoint_detection,Release_Date,Repository,Dataset_ID,Status_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_assay,Status_Milestone_NanoBRET_assay
DSTYK,NanoLuc®-fused DSTYK,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519488,Fold Change,Fluorescence Intensity,,Synapse,syn21519488,Complete,https://www.synapse.org/#!Synapse:syn21519488,https://www.synapse.org/#!Synapse:syn21519488,Complete
MAST3,NanoLuc®-fused MAST3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519489,Fold Change,Fluorescence Intensity,,Synapse,syn21519489,Complete,https://www.synapse.org/#!Synapse:syn21519489,https://www.synapse.org/#!Synapse:syn21519489,Complete
MAST4,NanoLuc®-fused MAST4,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519490,Fold Change,Fluorescence Intensity,,Synapse,syn21519490,Complete,https://www.synapse.org/#!Synapse:syn21519490,https://www.synapse.org/#!Synapse:syn21519490,Complete
PHKG2,NanoLuc®-fused PHKG2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519491,Fold Change,Fluorescence Intensity,,Synapse,syn21519491,Complete,https://www.synapse.org/#!Synapse:syn21519491,https://www.synapse.org/#!Synapse:syn21519491,Complete
SBK3,NanoLuc®-fused SBK3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519492,Fold Change,Fluorescence Intensity,,Synapse,syn21519492,Complete,https://www.synapse.org/#!Synapse:syn21519492,https://www.synapse.org/#!Synapse:syn21519492,Complete
WEE2,NanoLuc®-fused WEE2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519493,Fold Change,Fluorescence Intensity,,Synapse,syn21519493,Complete,https://www.synapse.org/#!Synapse:syn21519493,https://www.synapse.org/#!Synapse:syn21519493,Complete
NUAK2,NanoLuc®-fused NUAK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519494,Fold Change,Fluorescence Intensity,,Synapse,syn21519494,Complete,https://www.synapse.org/#!Synapse:syn21519494,https://www.synapse.org/#!Synapse:syn21519494,Complete
PKMYT1,NanoLuc®-fused PKMYT1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519495,Fold Change,Fluorescence Intensity,,Synapse,syn21519495,Complete,https://www.synapse.org/#!Synapse:syn21519495,https://www.synapse.org/#!Synapse:syn21519495,Complete
PRKACB,NanoLuc®-fused PRKACB,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519496,Fold Change,Fluorescence Intensity,,Synapse,syn21519496,Complete,https://www.synapse.org/#!Synapse:syn21519496,https://www.synapse.org/#!Synapse:syn21519496,Complete
STK17A,NanoLuc®-fused STK17A,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519497,Fold Change,Fluorescence Intensity,,Synapse,syn21519497,Complete,https://www.synapse.org/#!Synapse:syn21519497,https://www.synapse.org/#!Synapse:syn21519497,Complete
TLK1,NanoLuc®-fused TLK1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519498,Fold Change,Fluorescence Intensity,,Synapse,syn21519498,Complete,https://www.synapse.org/#!Synapse:syn21519498,https://www.synapse.org/#!Synapse:syn21519498,Complete
TLK2,NanoLuc®-fused TLK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn21519499,Fold Change,Fluorescence Intensity,,Synapse,syn21519499,Complete,https://www.synapse.org/#!Synapse:syn21519499,https://www.synapse.org/#!Synapse:syn21519499,Complete
PIP4K2C,NanoLuc®-fused PIP4K2C,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn22752283,Fold Change,Fluorescence Intensity,,Synapse,syn22752283,Complete,https://www.synapse.org/#!Synapse:syn22752283,https://www.synapse.org/#!Synapse:syn22752283,Complete
TSSK1B,NanoLuc®-fused TSSK1B,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn22752285,Fold Change,Fluorescence Intensity,,Synapse,syn22752285,Complete,https://www.synapse.org/#!Synapse:syn22752285,https://www.synapse.org/#!Synapse:syn22752285,Complete
CAMK1G,NanoLuc®-fused CAMK1G,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn22752287,Fold Change,Fluorescence Intensity,,Synapse,syn22752287,Complete,https://www.synapse.org/#!Synapse:syn22752287,https://www.synapse.org/#!Synapse:syn22752287,Complete
BRSK1,NanoLuc®-fused BRSK1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn22752288,Fold Change,Fluorescence Intensity,,Synapse,syn22752288,Complete,https://www.synapse.org/#!Synapse:syn22752288,https://www.synapse.org/#!Synapse:syn22752288,Complete
NIM1K,NanoLuc®-fused NIM1K,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn26720953,Fold Change,Fluorescence Intensity,,Synapse,syn26720953,Complete,https://www.synapse.org/#!Synapse:syn26720953,https://www.synapse.org/#!Synapse:syn26720953,Complete
CSNK1G1,NanoLuc®-fused CSNK1G1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn26720954,Fold Change,Fluorescence Intensity,,Synapse,syn26720954,Complete,https://www.synapse.org/#!Synapse:syn26720954,https://www.synapse.org/#!Synapse:syn26720954,Complete
CSNK1G3,NanoLuc®-fused CSNK1G3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn26720955,Fold Change,Fluorescence Intensity,,Synapse,syn26720955,Complete,https://www.synapse.org/#!Synapse:syn26720955,https://www.synapse.org/#!Synapse:syn26720955,Complete
